Name of the Simulation,Number of Houses,Number of Days,High Power [W],Low Power [W],High Duration [min],Low Duration [min],Number of Cycles,Probability [%],Earliest Start [hour],Latest Start [hour]
tumble_dryer,100,7,2400,240,75,15,1,60,7,23
-,-,-,24,2.4,7.5,1.5,1,-,-,-
